date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:09	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2015:49:11%20GMT	http://rlpsolution.com/robots.txt		(from )
21:20:12	47654/47654	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202020%2015:49:11%20GMT	http://rlpsolution.com/	D:/DEMO/DEMO/rlpsolution.com/index.html	(from )
21:20:33	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/DEMO/DEMO/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://rlpsolution.com/)
21:20:35	31004/31004	---M--	200	added ('OK')	text/css	etag:%220aae41ba5a7d41:0%22	http://rlpsolution.com/css/font-awesome.css	D:/DEMO/DEMO/rlpsolution.com/css/font-awesome.css	(from http://rlpsolution.com/)
21:20:35	3767/3767	---M--	200	added ('OK')	text/css	etag:%220a75967cd9ed41:0%22	http://rlpsolution.com/css/owl.css	D:/DEMO/DEMO/rlpsolution.com/css/owl.css	(from http://rlpsolution.com/)
21:20:59	667/667	---M--	200	added ('OK')	text/css	etag:%220a75967cd9ed41:0%22	http://rlpsolution.com/css/variable.css	D:/DEMO/DEMO/rlpsolution.com/css/variable.css	(from http://rlpsolution.com/)
21:21:01	9556/9556	---M--	200	added ('OK')	text/css	etag:%220a75967cd9ed41:0%22	http://rlpsolution.com/css/css.css	D:/DEMO/DEMO/rlpsolution.com/css/css.css	(from http://rlpsolution.com/)
21:21:01	4740/4740	---M--	200	added ('OK')	text/css	etag:%220a75967cd9ed41:0%22	http://rlpsolution.com/css/css_002.css	D:/DEMO/DEMO/rlpsolution.com/css/css_002.css	(from http://rlpsolution.com/)
21:21:14	117317/117317	---M--	200	added ('OK')	text/css	etag:%22068926491a7d41:0%22	http://rlpsolution.com/css/bootstrap.css	D:/DEMO/DEMO/rlpsolution.com/css/bootstrap.css	(from http://rlpsolution.com/)
21:21:14	20326/20326	---M--	200	added ('OK')	text/css	etag:%2201f1099a5a7d41:0%22	http://rlpsolution.com/css/layerslider.css	D:/DEMO/DEMO/rlpsolution.com/css/layerslider.css	(from http://rlpsolution.com/)
21:21:16	169186/169186	---M--	200	added ('OK')	text/css	etag:%220fece46a5a7d41:0%22	http://rlpsolution.com/css/style.css	D:/DEMO/DEMO/rlpsolution.com/css/style.css	(from http://rlpsolution.com/)
21:21:20	69917/69917	---M--	200	added ('OK')	application/x-javascript	etag:%2202dff389a7d41:0%22	http://rlpsolution.com/js/jquery-3.js	D:/DEMO/DEMO/rlpsolution.com/js/jquery-3.js	(from http://rlpsolution.com/)
21:21:21	85582/85582	---M--	200	added ('OK')	application/x-javascript	etag:%220f32b8f88a7d41:0%22	http://rlpsolution.com/js/jquery.js	D:/DEMO/DEMO/rlpsolution.com/js/jquery.js	(from http://rlpsolution.com/)
21:21:23	23063/23063	---M--	200	added ('OK')	application/x-javascript	date:Wed,%2004%20Oct%202017%2001:45:12%20GMT	http://rlpsolution.com/WebResource.axd?d=wwkLsAD83j1imM0bTBEdtkp3OTbz1ABJl_J5O0hACKe8mmaMEk-MJ5pyzhVbGGba7YuVTHUzs2gm24EXUyhe2lEUgC1QNqGnkjbbp13x9601&t=636426981120000000	D:/DEMO/DEMO/rlpsolution.com/WebResourcea482.js	(from http://rlpsolution.com/)
21:21:24	365336/365336	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2017%20Nov%202020%2008:18:10%20GMT	http://rlpsolution.com/ScriptResource.axd?d=Wh19z9e1IdSRxRIu6t2Hv0AsJ8w-zl5Ej1-v6pm1VkktGtI9XWpgXMr_2L98uTnMhyS7jOt1IUDtzy4DsTAXVcNfNNwi-hZqfW0BAT5CXW5S7JhrqmDqdjDFWc8UOnlOKvxuLe4SyBaPve0hXnnVnA2&t=23c9c237	D:/DEMO/DEMO/rlpsolution.com/ScriptResource4bf3.js	(from http://rlpsolution.com/)
21:21:25	95695/95695	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2017%20Nov%202020%2008:18:10%20GMT	http://rlpsolution.com/ScriptResource.axd?d=h2s88KylTijKq6toQzUY0ktG-8LM4Apk6J-k3sLc6zFfpwKDesZkDdMBtVFt_Igh7V0bqYssr-wM2EiTExDqdAoEfHdoiuPh5OBij0-XMb-D0eaiAYxf9V91zJCZTl97vu0IMg-NVu1f-8kAeX1OaQ2&t=23c9c237	D:/DEMO/DEMO/rlpsolution.com/ScriptResourced03c.js	(from http://rlpsolution.com/)
21:21:26	47666/47666	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Nov%202020%2015:50:26%20GMT	http://rlpsolution.com/Default.aspx	D:/DEMO/DEMO/rlpsolution.com/Default.html	(from http://rlpsolution.com/)
21:21:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Nov%202020%2015:50:30%20GMT	http://rlpsolution.com/img/logo.png	D:/DEMO/DEMO/rlpsolution.com/img/logo.12.delayed	(from http://rlpsolution.com/)
21:21:29	133150/133150	---MC-	200	added ('OK')	text/javascript	date:Tue,%2017%20Nov%202020%2015:50:18%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/DEMO/DEMO/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://rlpsolution.com/)
